,LOCATION,CITY,COUNTRY
120,"Tata Stadium, Jorapokhar - JSPCB",Jorapokhar,IN
121,"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,IN
122,"Shrivastav Colony, Damoh - MPPCB",Collectorate Campus,IN
123,"Deen Dayal Nagar, Sagar - MPPCB",Sagar,IN
124,"Vindhyachal STPS, Singrauli - MPPCB",Singrauli,IN
125,"Sahilara, Maihar - KJS Cements",Maihar,IN
126,"Bandhavgar Colony, Satna - Birla Cement",Birla Colony Campus,IN
127,"Ashok Nagar, Udaipur - RSPCB",Udaipur,IN
128,"SFTI Kusdihra, Gaya - BSPCB",Gaya,IN
129,"Collectorate, Gaya - BSPCB",Gaya,IN
130,"Shrinath Puram, Kota - RSPCB",Sector E,IN
131,"Ardhali Bazar, Varanasi - UPPCB",Ordali Bazar,IN
132,"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,IN
133,"DRM Office Danapur, Patna - BSPCB",Patna,IN
134,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN
135,"IGSC Planetarium Complex, Patna - BSPCB",Patna,IN
136,"Samanpura, Patna - BSPCB",Patna,IN
137,"Rajbansi Nagar, Patna - BSPCB",Patna,IN
138,"Muradpur, Patna - BSPCB",Patna,IN
139,"Industrial Area, Hajipur - BSPCB",Hajipur,IN
140,"Indira Colony Vistar, Pali - RSPCB",Indira Colony Vistar,IN
141,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,IN
142,"Railway Colony, Guwahati - APCB",POLLUTION CONTROL BOARD ,IN
143,"City Center, Gwalior - MPPCB",Gwalior,IN
144,"Phool Bagh, Gwalior - Mondelez Ind. Food",Gwalior,IN
145,"Collectorate, Jodhpur - RSPCB",Jodhpur,IN
146,"Nehru Nagar, Kanpur - UPPCB",Kanpur,IN
147,"Civil Lines,  Ajmer - RSPCB",Ajmer,IN
148,"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,IN
149,"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,IN
150,"Lalbagh, Lucknow - CPCB",Lucknow,IN
151,"Gomti Nagar, Lucknow - UPPCB",Lucknow,IN
152,"Nishant Ganj, Lucknow - UPPCB",Lucknow,IN
153,"Central School, Lucknow - CPCB",Sector 9,IN
154,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,IN
155,"Police Commissionerate, Jaipur - RSPCB",Jaipur,IN
156,"Shastri Nagar, Jaipur - RSPCB",Jaipur,IN
157,"Sanjay Palace, Agra - UPPCB",Agra,IN
158,"Moti Doongri, Alwar - RSPCB",Alwar - Jaipur Rd,IN
159,"General Hospital, Mandikhera - HSPCB",Al Afiya General Hospital,IN
160,"Shastri Nagar, Narnaul - HSPCB",Mini Secretariat,IN
161,"Shyam Nagar, Palwal - HSPCB",Palwal ,IN
162,"RIICO Ind. Area III, Bhiwadi - RSPCB",Phase-lll,IN
163,"Municipal Corporation Office, Dharuhera -  HSPCB",The rooftop of Municipality Building,IN
164,"Nathu Colony, Ballabgarh - HSPCB",BDPO Office,IN
165,"Sector-2 IMT, Manesar - HSPCB",Auditorium Hall,IN
166,"Sector 11, Faridabad - HSPCB",Faridabad,IN
167,"New Industrial Town, Faridabad - HSPCB",Faridabad,IN
168,"Yamunapuram, Bulandshahr - UPPCB",F-5,IN
169,"Sector- 16A, Faridabad - HSPCB",Faridabad,IN
170,"Sector- 16A, Faridabad, Haryana - HSPCB",Faridabad,IN
171,"NISE Gwal Pahari, Gurugram - IMD",Gurugram,IN
172,"Sector-51, Gurugram - HSPCB",Gurugram,IN
173,"Teri Gram, Gurugram - HSPCB",Gurugram,IN
174,"Sector 30, Faridabad - HSPCB",Faridabad,IN
175,"Vikas Sadan, Gurugram - HSPCB",Gurugram,IN
176,"Knowledge Park - III, Greater Noida - UPPCB",Gate No.3,IN
177,"Sector - 125, Noida - UPPCB",Noida,IN
178,"Knowledge Park - V, Greater Noida - UPPCB",Greater Noida,IN
179,"Sector-116, Noida - UPPCB",Noida,IN
180,"Dwarka-Sector 8, Delhi - DPCC ",New Delhi,IN
181,"Jawaharlal Nehru Stadium, Delhi - DPCC","
Jawaharlal Nehru Stadium",IN
182,"Sector-1, Noida - UPPCB",Noida,IN
183,"Mini Secretariat, Charkhi Dadri - HSPCB",Charkhi Dadri,IN
184,"Major Dhyan Chand National Stadium, Delhi - DPCC","
National Stadium",IN
185,"Patparganj, Delhi - DPCC",Patparganj ,IN
186,"Sector - 62, Noida - IMD",Noida,IN
187,"Indirapuram, Ghaziabad - UPPCB",Ganga Jalpariyojan,IN
188,"Vasundhara, Ghaziabad - UPPCB",Ghaziabad,IN
189,"Arya Nagar, Bahadurgarh - HSPCB",Mini secretariat 301/13,IN
190,"Vivek Vihar, Delhi - DPCC",Vivek Vihar,IN
191,"Sanjay Nagar, Ghaziabad - UPPCB",Ghaziabad,IN
192,"Anand Vihar, Hapur - UPPCB",Hapur,IN
193,"Loni, Ghaziabad - UPPCB",Loni Dehat,IN
194,"H.B. Colony, Bhiwani - HSPCB",MINI  SECRETARIATE OFFICE  3RD FLOOR  DISTT. BHIWANI,IN
195,"Alipur, Delhi - DPCC",Mahatma Gandhi Insititute for Combating Climate Change,IN
196,"Lajpat Nagar, Moradabad - UPPCB",Moradabad,IN
197,"MD University, Rohtak, Haryana - HSPCB",Rohtak,IN
198,"Jai Bhim Nagar, Meerut - UPPCB",Meerut,IN
199,"New Collectorate, Baghpat - UPPCB",Government District Hospital,IN
200,"Ganga Nagar, Meerut - UPPCB",Meerut,IN
201,"Rishi Nagar, Kaithal - HSPCB",Hspcb caaqms station,IN
202,"Murthal, Sonipat - HSPCB",Rooftop of MV Block,IN
203,"Pallavpuram Phase 2, Meerut - UPPCB",Meerut,IN
204,"Urban Estate-II, Hisar - HSPCB",Regional Office Cum Laboratory,IN
205,"Police Lines, Jind - HSPCB",Antodya Bhawan Building,IN
206,"New Mandi, Muzaffarnagar - UPPCB",SD College,IN
207,"Sector-18, Panipat - HSPCB",Sector 18,IN
208,"Huda Sector, Fatehabad - HSPCB",Top Floor,IN
209,"F-Block, Sirsa - HSPCB",HSPCB CAAQM Station,IN
210,"Sector-12, Karnal - HSPCB",Karnal,IN
211,"Sector-7, Kurukshetra - HSPCB",Kurukshetra ,IN
212,"Gobind Pura, Yamuna Nagar - HSPCB",YamunaNagar,IN
213,"Hardev Nagar, Bathinda - PPCB",Bathinda ,IN
214,"Model Town, Patiala - PPCB",Patiala,IN
215,"Patti Mehar, Ambala - HSPCB",Saraswati Block Top Floor,IN
216,"RIMT University, Mandi Gobindgarh - PPCB",Mandi Gobindgarh,IN
217,"Sector-6, Panchkula - HSPCB ",Panchkula,IN
218,"Kalal Majra, Khanna - PPCB",A.S. College,IN
219,"Sector-25, Chandigarh - CPCC",Chandigarh,IN
220,"Punjab Agricultural University, Ludhiana - PPCB",Near Gate no 3,IN
221,"Ratanpura, Rupnagar - Ambuja Cements",Ambuja Cement Colony,IN
222,"Civil Line, Jalandhar - PPCB",Circuit House,IN
223,"Golden Temple, Amritsar - PPCB",Near musical Fountain ,IN
224,"Plammoodu, Thiruvananthapuram - Kerala PCB",KERALA STATE POLLUTION CONTROL BOARD,IN
225,"Kariavattom, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,IN
226,"Polayathode, Kollam - Kerala PCB",Kollam,IN
227,"Vyttila, Kochi - Kerala PCB",Kochi,IN
228,"Kacheripady, Ernakulam - Kerala PCB",Ernakulam,IN
229,Chennai,India,IN
230,Hyderabad,India,IN
231,Mumbai,India,IN
232,Kolkata,India,IN
233,New Delhi,India,IN
234,SPARTAN - IIT Kanpur,Kanpur,IN
235,"Birla Staff colony, Satna - MPPCB",Satna,IN
236,IGI Airport,Delhi,IN
237,R K Puram,Delhi,IN
238,NSIT Dwarka,Delhi,IN
239,Income Tax Office,Delhi,IN
240,"Income Tax Office, Delhi - CPCB",Delhi,IN
241,Mandir Marg,Delhi,IN
242,Anand Vihar,Delhi,IN
243,Shadipur,Delhi,IN
244,Punjabi Bagh,Delhi,IN
245,Civil Lines,Delhi,IN
246,"IHBAS, Delhi - CPCB",Delhi,IN
247,"Delhi Technological University, Delhi - CPCB",Delhi,IN
248,Delhi College Of Engineering,Delhi,IN
249,"Aya Nagar, Delhi - IMD",Delhi,IN
250,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,IN
251,"Okhla Phase-2, Delhi - DPCC",Delhi,IN
252,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,IN
253,"Sirifort, Delhi - CPCB",Delhi,IN
254,"CRRI Mathura Road, Delhi - IMD",Delhi,IN
255,"IGI Airport (T3), Delhi - IMD",Delhi,IN
256,"R K Puram, Delhi - DPCC",Delhi,IN
257,"Nehru Nagar, Delhi - DPCC",Delhi,IN
258,"Najafgarh, Delhi - DPCC",Delhi,IN
259,"Lodhi Road, Delhi - IMD",Delhi,IN
260,"NSIT Dwarka, Delhi - CPCB",Delhi,IN
261,"ITO, Delhi - CPCB",Delhi,IN
262,"ITO, New Delhi - CPCB",Delhi,IN
263,"Mandir Marg, Delhi - DPCC",Delhi,IN
264,"Pusa, Delhi - IMD",Delhi,IN
265,"Pusa, Delhi - DPCC",Delhi,IN
266,"Anand Vihar, Delhi - DPCC",Delhi,IN
267,"Shadipur, Delhi - CPCB",Delhi,IN
268,"East Arjun Nagar, Delhi - CPCB",Delhi,IN
269,"North Campus, DU, Delhi - IMD",Delhi,IN
270,"Punjabi Bagh, Delhi - DPCC",Delhi,IN
271,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,IN
272,"Mundka, Delhi - DPCC",Delhi,IN
273,"Ashok Vihar, Delhi - DPCC",Delhi,IN
274,"Wazirpur, Delhi - DPCC",Delhi,IN
275,"Sonia Vihar, Delhi - DPCC",Delhi,IN
276,"Burari Crossing, Delhi - IMD",Delhi,IN
277,"Rohini, Delhi - DPCC",Delhi,IN
278,"Jahangirpuri, Delhi - DPCC",Delhi,IN
279,"DTU, Delhi - CPCB",Delhi,IN
280,"Bawana, Delhi - DPCC",Delhi,IN
281,"Narela, Delhi - DPCC",Delhi,IN
282,"Anand Vihar, New Delhi - DPCC",Delhi,IN
283,"Punjabi Bagh, New Delhi - DPCC",Delhi,IN
